battleNum,battleDetail,beginDate,endDate,unknownDay,latitude,longitude,shrtNm,desc,type,killed,usCasTot,csCasTot
3554,,1863-07-02,1863-07-03,FALSE,0.319334246,-0.656699002,,"Engagement at Beverly, W. Va.",Battle,0,0,0
3555,,1865-01-11,1865-01-11,FALSE,0.238864918,-0.491216822,,"Capture of U.S. Forces at Beverly, W. Va.",Skirmish,0,0,0
3556,,1864-10-29,1864-10-29,FALSE,0.364579968,-0.749745148,,"Action at Beverly, W. Va.",Skirmish,0,0,0
3557,,1863-04-24,1863-04-24,FALSE,0.255712763,-0.52586379,,"Skirmish at Beverly, WV",Skirmish,0,0,0
3558,,1861-06-01,1861-06-01,FALSE,0.364495031,-0.725451767,,"Skirmish at Fairfax Court-House, Va.",Skirmish,0,0,0
3559,,1862-09-20,1862-09-20,FALSE,0.017640571,-0.03730227,,"Skirmish at Point Pleasant, W. Va.",Skirmish,0,0,0
3560,,1863-03-30,1863-03-30,FALSE,0.087842182,-0.185748679,,"Skirmish at Point Pleasant, W, Va.",Skirmish,0,0,0
3561,,1863-04-22,1863-04-22,FALSE,0.064595028,-0.136590883,,"Skirmish at Point Pleasant, W. Va.",Skirmish,0,0,0
3562,,1861-07-17,1861-07-17,FALSE,0.154462229,-0.30740313,,Skirmish at Fairfax Court-House.,Skirmish,0,0,0
3563,,1863-01-09,1863-01-09,FALSE,0.169204388,-0.33674225,,"Skirmish at Fairfax Court-House, Va.",Skirmish,0,0,0
3564,,1863-03-09,1863-03-09,FALSE,0.061131897,-0.121661694,,Affair at Fairfax Court-House. Va.,Skirmish,0,0,0
3565,,1863-06-27,1863-06-27,FALSE,0.307476339,-0.611924287,,"Skirmish near Fairfax Court-House, Va.",Skirmish,0,0,0
3566,,1863-08-06,1863-08-06,FALSE,0.018453647,-0.036725238,,"Capture and recapture of sutlers' wagons near Fairfax Court House, Va.",Skirmish,0,0,0
3567,,1861-11-27,1861-11-27,FALSE,0.296858774,-0.590775402,,"Skirmish near Fairfax Court-House, Va.",Skirmish,0,0,0
3568,,1862-09-02,1862-09-02,FALSE,0.139820371,-0.278266168,,"Skirmish near Fairfax Court-House, VA",Skirmish,0,0,0
3569,,1861-07-17,1861-07-17,FALSE,0.186271443,-0.440888665,,"Skirmish at Fulton, Mo.",Skirmish,0,0,0
3570,,1861-08-28,1861-08-28,FALSE,0.01162783,-0.023085291,,"Skirmishes near Bailey's Corners , Va.",Skirmish,0,0,0
3571,,1861-08-29,1861-08-29,FALSE,0.061255457,-0.121613407,,"Skirmishes near Bailey's Corners , Va.",Skirmish,0,0,0
3572,,1861-08-30,1861-08-30,FALSE,0.28044554,-0.556782028,,"Skirmishes near Bailey's Corners , Va.",Skirmish,0,0,0
3573,,1861-06-01,1861-06-01,FALSE,0.291064133,-0.577637643,,"Skirmish at Arlington Mills, Va.",Skirmish,0,0,0
3574,,1863-02-26,1863-02-26,FALSE,0.037874922,-0.075380327,,"Affair near Germantown, Va.",Skirmish,0,0,0
3575,,1862-08-31,1862-08-31,FALSE,0.202083929,-0.402199908,,Skirmish at Germantown.,Skirmish,0,0,0
3576,,1861-08-31,1861-08-31,FALSE,0.318851908,-0.633022812,,"Skirmish at Munson's Hill, or Little River Turnpike, Va.",Skirmish,0,0,0
3577,,1861-09-29,1861-09-29,FALSE,0.332713063,-0.660541628,,"Affair near Vanderburgh's house, Munson's Hill, Va.",Skirmish,0,0,0
3578,,1863-09-12,1863-09-12,FALSE,0.070826875,-0.141747436,,"Skirmish at White Plains, Va. ",Skirmish,0,0,0
3579,,1864-10-11,1864-10-11,FALSE,0.054698215,-0.109468783,,"Skirmish near White Plains, Va.",Skirmish,0,0,0
3580,,1862-11-16,1862-11-16,FALSE,0.209442019,-0.421085012,,"Skirmish at Chester Gap, Va.",Skirmish,0,0,0
3581,,1863-07-21,1863-07-22,FALSE,0.063202561,-0.127069302,,"Skirmishes at Chester Gap, Va.",Skirmish,0,0,0
3582,,1863-07-23,1863-07-23,FALSE,0.173365857,-0.348553574,,"Skirmish near Chester Gap, Va.",Skirmish,0,0,0
3583,VA027,1862-09-01,1862-09-01,FALSE,0.177803079,-0.353963596,,Battle of Chantilly,Battle,2100,1300,800
3584,,1863-02-10,1863-02-10,FALSE,0.104092479,-0.207223341,,"Skirmish at Chantilly, Va.",Skirmish,0,0,0
3585,,1863-02-25,1863-02-26,FALSE,0.237960869,-0.473723433,,"Skirmish at Chantilly, Va.",Skirmish,0,0,0
3586,,1862-11-04,1862-11-04,FALSE,0.173329363,-0.347210422,,"Skirmish at Salem, VA",Skirmish,0,0,0
3587,,1862-08-16,1862-08-16,FALSE,0.268157711,-0.649653887,,"Action at Lone Jack, Mo.",Skirmish,0,0,0
3588,,1864-09-01,1864-09-01,FALSE,0.115623433,-0.280115803,,Skirmish near Lone Jack.,Skirmish,0,0,0
3589,,1865-03-12,1865-03-12,FALSE,0.073073965,-0.177033081,,"Affair near Lone Jack, Mo.",Skirmish,0,0,0
3590,WV003,1861-07-11,1861-07-11,FALSE,0.030488881,-0.062710768,,Battle of Rich Mountain,Battle,690,61,629
3591,,1861-07-10,1861-07-10,FALSE,0.197305089,-0.405865422,,Skirmish at Rich Mountain.,Skirmish,0,0,0
3592,,1861-11-18,1861-11-18,FALSE,0.019411172,-0.038566178,,"Skirmish on road from Falls Church to Fairfax Court-House, Va. ",Skirmish,0,0,0
3593,,1861-09-06,1861-09-06,FALSE,0.241578479,-0.504757648,,"Skirmish at Rowell's Run, W. Va.",Skirmish,0,0,0
3594,,1864-10-07,1864-10-07,FALSE,0.083150356,-0.168173347,,"Skirmish near Columbia Furnace, Va.",Skirmish,0,0,0
3595,,1862-04-16,1862-04-16,FALSE,0.323424709,-0.654122623,,"Skirmish at Columbia Furnace, Va.",Skirmish,0,0,0
3596,,1862-04-07,1862-04-07,FALSE,0.293163801,-0.592920298,,"Skirmish at Columbia Furnace, Va.",Skirmish,0,0,0
3597,,1862-09-02,1862-09-02,FALSE,0.110987707,-0.220702674,,Affair at Flint Hill.,Skirmish,0,0,0
3598,,1864-01-18,1864-01-18,FALSE,0.007532865,-0.014979348,,"Affair at Flint Hill, Va. ",Skirmish,0,0,0
3599,,1864-01-06,1864-01-06,FALSE,0.197897133,-0.393524902,,"Affair at Flint Hill, Va.",Skirmish,0,0,0
3600,,1865-03-07,1865-03-07,FALSE,0.215357844,-0.428246096,,"Skirmish near Flint Hill, Va.",Skirmish,0,0,0
3601,,1863-03-23,1863-03-23,FALSE,0.253555535,-0.504750956,,"Skirmish on the Little River Turnpike, near Chantilly, Va.",Skirmish,0,0,0
3602,,1863-10-17,1863-10-17,FALSE,0.234429324,-0.466649955,,"Affair at Stuart's, near Chantilly, Va.",Skirmish,0,0,0
3603,,1861-08-27,1861-08-27,FALSE,0.108090271,-0.214393278,,"Skirmishes at BallÕs Cross-Roads, Va.",Skirmish,0,0,0
3604,,1861-08-28,1861-08-28,FALSE,0.245692665,-0.487322819,,"Skirmishes at BallÕs Cross-Roads, Va.",Skirmish,0,0,0
3605,,1863-11-16,1863-11-16,FALSE,0.211991896,-0.428068351,,"Skirmish at Woodstock, Va.",Skirmish,0,0,0
3606,,1865-03-14,1865-03-14,FALSE,0.093115005,-0.188024105,,"Skirmish at Woodstock, Va.",Skirmish,0,0,0
3607,,1862-05-18,1862-05-18,FALSE,0.134493983,-0.271579332,,Skirmish at Woodstock.,Skirmish,0,0,0
3608,,1862-06-02,1862-06-02,FALSE,0.233642695,-0.471787107,,"Skirmishes at Woodstock, VA",Skirmish,0,0,0
3609,,1864-09-23,1864-09-23,FALSE,0.058400729,-0.117926696,,"Skirmish at Woodstock, Va.",Skirmish,0,0,0
3610,,1863-08-16,1863-08-16,FALSE,0.172961423,-0.343289387,,"Skirmish at Falls Church, Va.",Skirmish,0,0,0
3611,,1862-09-02,1862-09-02,FALSE,0.383690707,-0.761599748,,"Skirmish near Falls Church, VA",Skirmish,0,0,0
3612,,1862-09-03,1862-09-03,FALSE,0.265823531,-0.52759764,,"Skirmish at Falls Church, Va.",Skirmish,0,0,0
3613,,1862-09-04,1862-09-04,FALSE,0.064653226,-0.128321557,,"Skirmish at Falls Church, Va.",Skirmish,0,0,0
3614,,1861-08-20,1861-08-20,FALSE,0.066109684,-0.135331804,,"Skirmish at Laurel Fork Creek, W. Va.",Skirmish,0,0,0
3615,,1864-06-27,1864-06-28,FALSE,0.015414343,-0.03704959,,"Affairs near Dunksburg, Mo.",Skirmish,0,0,0
3616,,1861-07-17,1861-07-17,FALSE,0.369409714,-0.733723298,,"Skirmish at Vienna, VA",Skirmish,21,21,0
3617,,1862-09-02,1862-09-02,FALSE,0.163145516,-0.324015374,,"Skirmish near Vienna, VA",Skirmish,0,0,0
3618,,1861-11-26,1861-11-26,FALSE,0.344239945,-0.68367821,,"Skirmish near Vienna, Va.",Skirmish,0,0,0
3619,,1861-07-09,1861-07-09,FALSE,0.266831543,-0.529941148,,"Skirmish at Vienna, Va.",Skirmish,0,0,0
3620,,1861-06-17,1861-06-17,FALSE,0.186712705,-0.37083114,,"Action near Vienna, Va.",Skirmish,0,0,0
3621,,1864-02-20,1864-02-20,FALSE,0.321661879,-0.646418575,,"Skirmish at Front Royal, Va.",Skirmish,0,0,0
3622,,1864-05-22,1864-05-22,FALSE,0.292620486,-0.588056372,,"Skirmish at Front Royal, Va.",Skirmish,0,0,0
3623,,1862-05-30,1862-05-30,FALSE,0.262841241,-0.528211366,,Action at Front Royal,Skirmish,0,0,0
3624,,1862-05-31,1862-05-31,FALSE,0.378884248,-0.761413868,,Skirmish near Front Royal.,Skirmish,0,0,0
3625,,1862-06-01,1862-06-01,FALSE,0.072409185,-0.145515043,,"Skirmish at Mount Carmel, near Strasburg.",Skirmish,0,0,0
3626,,1864-11-22,1864-11-22,FALSE,0.388328981,-0.780394207,,"Skirmish at Front Royal,Va.",Skirmish,0,0,0
3627,,1864-09-21,1864-09-21,FALSE,0.231312181,-0.464849894,,"Skirmish at Front Royal, Va.",Skirmish,0,0,0
3628,,1864-09-23,1864-09-23,FALSE,0.03985276,-0.080088957,,"Skirmish at Front Royal, Va.",Skirmish,0,0,0
3629,,1862-06-02,1862-06-02,FALSE,0.075276843,-0.151277949,,"Skirmish at Strasburg, VA",Skirmish,0,0,0
3630,,1862-05-15,1862-05-15,FALSE,0.149743903,-0.300490013,,"Skirmish at Linden, Va.",Skirmish,0,0,0
3631,,1862-05-24,1862-05-24,FALSE,0.014918398,-0.029936643,,Skirmish at Linden.,Skirmish,0,0,0
3632,,1863-01-05,1863-01-05,FALSE,0.303750511,-0.604773547,,"Skirmish at Cub Run, Va.",Skirmish,0,0,0
3633,,1863-09-25,1863-09-25,FALSE,0.128379547,-0.263175599,,"Skirmish at Seneca Trace Crossing, Cheat River, W. Va. ",Skirmish,0,0,0
3634,,1863-04-16,1863-04-16,FALSE,0.122397768,-0.245082949,,"Skirmish at Piedmont Station, Va.",Skirmish,0,0,0
