Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA  
"Lukosius, Jack",GC,17,219,62,59,278,3,3,,27,84,36,7,50,8,13,3,70,149,9,1,31,4,2
"Noble, John",CW,17,161,56,116,277,2,,,29,41,21,6,39,14,10,1,61,213,,,15,4,1
"Smith, Brodie",AD,16,203,58,72,275,5,6,,38,60,48,16,40,7,10,1,68,177,2,2,22,3,3
"Coffield, Nick",SK,18,181,117,93,274,,,,18,53,16,8,29,7,8,,74,201,8,,36,1,
"Grundy, Brodie",CW,19,105,57,168,273,3,3,593,68,14,37,61,48,43,28,6,169,110,20,5,41,2,6
"Parfitt, Brandan",GE,17,143,30,129,272,8,6,,100,14,43,50,55,13,21,2,128,150,2,5,15,,4
"Vlastuin, Nick",RI,19,179,95,93,272,1,,,40,76,18,1,43,14,19,1,95,155,15,,59,11,3
"May, Steven",ME,17,210,76,62,272,1,,,14,90,11,,23,9,4,4,61,123,12,1,113,1,1
"Haynes, Nick",GW,17,208,121,64,272,,,,23,71,18,8,35,13,7,4,77,199,15,2,82,6,2
"Miers, Gryan",GE,20,178,88,93,271,18,5,,31,13,46,14,39,10,8,3,70,205,1,10,11,1,6
"Berry, Jarrod",BL,17,155,70,116,271,7,10,,64,17,43,38,39,20,21,8,119,158,2,8,33,1,9
"Hurn, Shannon",WC,17,205,87,66,271,,,,26,78,13,2,21,7,7,,62,138,8,,45,5,1
"Mills, Callum",SY,15,164,77,107,271,,1,,49,46,21,17,38,18,15,2,93,163,4,,55,2,
"Swallow, David",GC,15,154,54,116,270,4,10,,59,21,45,66,52,8,21,2,135,137,4,6,13,,2
"Treloar, Adam",CW,10,122,19,147,269,1,4,,30,16,40,52,38,8,8,4,129,138,,1,7,1,3
"Atley, Shaun",NM,17,132,57,136,268,1,,,25,38,29,12,28,9,9,,78,192,,1,22,11,6
"Johannisen, Jason",WB,17,165,66,102,267,6,5,,29,37,35,6,27,7,3,,61,199,2,5,30,6,9
"Marshall, Rowan",SK,19,192,83,74,266,13,11,277,41,10,58,51,54,30,24,8,159,109,30,16,31,,6
"Keays, Ben",AD,16,147,47,118,265,3,5,,53,25,40,47,35,9,14,1,109,155,1,1,14,,3
"Aish, James",FR,16,162,63,103,265,,2,,25,25,39,15,26,14,4,,66,191,1,3,13,1,7
"Crouch, Brad",AD,12,136,20,128,264,2,1,,45,15,36,59,49,15,14,1,123,135,,1,5,,2
"Simpson, Kade",CA,17,201,66,63,264,1,,,19,62,21,10,34,11,7,,70,154,2,,29,6,1
"Robinson, Mitch",BL,19,182,66,79,261,5,3,,44,36,54,32,45,16,16,1,97,162,4,6,25,1,9
"Dawson, Jordan",SY,16,183,60,77,260,6,7,,38,47,35,14,34,13,10,,73,167,14,4,45,1,10
"Rich, Daniel",BL,15,218,74,38,256,4,2,,19,72,39,6,22,9,5,2,54,156,4,,29,,1
"Bailey, Zac",BL,19,166,76,89,255,13,9,,47,23,55,14,41,11,19,1,92,168,2,6,17,,5
"Goldstein, Todd",NM,17,105,33,149,254,6,6,472,35,17,28,88,41,38,17,5,164,99,11,4,49,,6
"Hunter, Lachie",WB,10,137,54,116,253,4,8,,24,16,33,21,25,11,6,6,55,187,1,8,15,8,4
"Cunningham, Harry",SY,17,157,59,96,253,,1,,38,56,28,9,27,10,5,,70,166,2,,20,1,2
"Wingard, Chad",HW,17,145,49,106,251,18,11,,61,5,54,16,33,14,8,6,93,148,5,15,24,7,8
"OMeara, Jaeger",HW,12,140,35,110,250,4,4,,50,12,44,56,52,6,23,3,108,149,1,4,14,1,4
"Blicavs, Mark",GE,20,128,70,122,250,3,1,171,55,29,24,43,33,22,19,,142,119,18,1,86,,3
"Polec, Jared",NM,13,162,42,88,250,3,3,,34,26,38,33,38,12,8,1,92,160,2,3,7,4,6
"Tarrant, Robbie",NM,16,178,68,72,250,,,,21,91,15,2,33,14,15,,61,137,7,,81,,
"Hawkins, Tom",GE,20,169,111,80,249,48,34,41,37,2,26,21,42,7,17,11,130,121,32,72,21,2,23
"Butters, Zak",PA,17,129,55,119,248,11,6,,47,4,36,23,32,12,9,2,107,142,4,10,14,6,15
"Kennedy, Josh",SY,12,129,34,119,248,3,3,,62,15,31,56,38,12,8,4,108,127,2,3,7,1,2
"Walters, Michael",FR,14,145,44,102,247,15,7,,40,17,36,43,44,26,10,8,115,133,6,9,20,3,7
"Shuey, Luke",WC,13,144,33,102,246,1,1,,45,26,47,63,38,11,14,6,113,137,,,29,10,6
"Phillips, Tom",CW,15,141,46,104,245,5,7,,35,20,36,11,30,16,4,2,84,157,1,5,4,,2
